,工作标题,工作链接,工作地点,薪资,年限,学历,公司名,公司链接,公司行业,融资情况,人数,标签,福利
76,爬虫工程师_实习,/job_detail/d35364e0f4464f280XVz09q0FFA~.html,广州·天河区·天河客运站,60-100元/天,4天/周3个月,本科,广州游讯,/gongsi/ec74c4e63f19debd1Hxz09y4Ew~~.html,媒体,不需要融资,100-499人,"['数据挖掘', '数据分析', '数据仓库', '数据库开发']",股票期权，带薪年假，节日福利，零食下午茶，五险一金
77,爬虫开发工程师,/job_detail/6ef2cdcb890e63a73nR839u0FFI~.html,广州·天河区·时尚天河,15-22K,3-5年学历,不限,恒淘,/gongsi/406662b1875acfb333Vz39W-FQ~~.html,互联网,天使轮,0-20人,"['Java', 'Python', '支付', '网络爬虫技术', '网络协议', 'html', 'JavaScript']",全勤奖，带薪年假，五险一金，节日福利，年终奖，员工旅游，加班补助，零食下午茶
78,Python爬虫工程师,/job_detail/cfa78c3715b256281nV609i6FFNZ.html,广州·番禺区·市桥,3-5K,经验不限学历,不限,海胆,/gongsi/bd9e254c66af15740XF_29-0Fg~~.html,互联网,未融资,0-20人,"['爬虫工程师', '网络爬虫技术', 'Python', 'Python工程师']",节日福利，零食下午茶，带薪年假，员工旅游
79,python爬虫工程师,/job_detail/a02803c1228c60341nx72d-7EldX.html,广州,8-13K·13薪,1-3年,大专,米果电商,/gongsi/807fc087b379d81c0HZ50tq9FA~~.html,电子商务,未融资,100-499人,"['Java', 'SQL', '分布式技术', '网络爬虫技术', 'Redis', 'NoSQL', 'MongoDB', 'Oracle']",五险一金，节日福利，全勤奖，带薪年假，年终奖，员工旅游，零食下午茶
80,爬虫开发工程师,/job_detail/d25abc127dafc3a51XZ93d-8EVQ~.html,广州·黄埔区·黄村,10-20K,3-5年,本科,龙席网络,/gongsi/69bc7a0c97a1646f1X1y3ds~.html,互联网,已上市,100-499人,"['数据采集', 'python', '爬虫工程师']",通讯补贴，股票期权，五险一金，员工旅游，节日福利，带薪年假，零食下午茶
81,爬虫工程师,/job_detail/ab2c2e1c3e60e59203Z52NS4E1E~.html,广州·天河区·体育中心,20-40K,1年以内,本科,宜融网,/gongsi/f0194bde0f5f98d71Hxy29q4FA~~.html,互联网金融,不需要融资,20-99人,"['抓取', '数据挖掘', '数据抓取']",五险一金，全勤奖，节日福利，零食下午茶，股票期权，带薪年假，员工旅游
82,Python爬虫工程师,/job_detail/80218f8f5eebe5cb1XZ629m-ElNS.html,广州·海珠区·东晓,8-9K,1-3年,本科,广州市海珠区天字酒店,/gongsi/54adc5eace9195ed1nZ-29i0EA~~.html,旅游,未融资,10000人以上,['网络爬虫技术'],五险一金
83,python爬虫工程师/python后端开发工程师,/job_detail/cb3a7c5064b5bafa1nB-29W4EFpU.html,广州·天河区·车陂,8-12K,经验不限,大专,广州市码拉松电子...,/gongsi/d043968375ec565d1nF60929EFA~.html,互联网金融,,0-20人,"['网络爬虫技术', 'Linux', 'MySQL', 'Django', 'Flask', 'PostgreSQL', 'Scrapy', 'Pyspider']",
84,高级爬虫开发工程师,/job_detail/dda6932d14f932ef0HV60t20GVE~.html,广州·越秀区·水荫,15-20K,3-5年,大专,聚焦网络,/gongsi/0afc0a126afc31ea1XB809S8.html,互联网,不需要融资,500-999人,"['Python', '大数据', '网络爬虫技术']",员工旅游，零食下午茶，晋升空间大，五险一金，节日福利，带薪年假，年终奖，全勤奖
85,Android逆向工程师,/job_detail/813bb0cd2764c3231XV-2NW8F1tS.html,广州·黄埔区·科学城,13-16K·13薪,3-5年学历,不限,沐钬,/gongsi/8f4e3819429543561nBz0tW4ElY~.html,电子商务,不需要融资,0-20人,"['Java', '逆向', '爬虫', 'idea', 'hook']",全勤奖，年终奖，五险一金
